,Name,Rating,Location,Cuisine,Votes,Cost
0,Local,4.1/52415 votes,"Scindia House,Connaught Place, Central Delhi","North Indian,  Finger Food,  Continental",2415 votes,₹ 2000 for two (approx.)
1,The G.T. ROAD,4.3/52363 votes,"M-Block,Connaught Place, Central Delhi",North Indian,2363 votes,₹ 1500 for two (approx.)
2,Tamasha,4.2/55016 votes,"Connaught Place, Central Delhi","Finger Food,  North Indian,  Italian,  Continental,  Asian",5016 votes,₹ 2000 for two (approx.)
3,The Junkyard Cafe,4.2/52821 votes,"Connaught Place, Central Delhi","North Indian,  Mediterranean,  Asian,  Italian,  Oriental ",2821 votes,₹ 1800 for two (approx.)
4,Chili's American Grill and Bar,4.4/51094 votes,"M-Block,Connaught Place, Central Delhi","Mexican,  American,  Italian",1094 votes,₹ 2000 for two (approx.)
5,Ardor 2.1 Restaurant and Lounge,3.9/51391 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Seafood",1391 votes,₹ 2000 for two (approx.)
6,The Luggage Room By Sandoz,4.0/51022 votes,"M-Block,Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",1022 votes,₹ 1800 for two (approx.)
7,QBA,4.3/5963 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",963 votes,₹ 2100 for two (approx.)
8,My Bar Square,3.9/5506 votes,"Connaught Place, Central Delhi","Finger Food,  Italian,  Chinese,  Continental",506 votes,₹ 1500 for two (approx.)
9,Ghoomar Traditional Thali Restaurant,4.2/5712 votes,"Connaught Place, Central Delhi",Rajasthani,712 votes,₹ 1000 for two (approx.)
10,Station Bar,4.1/52428 votes,"F-Block,Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",2428 votes,₹ 2000 for two (approx.)
11,Warehouse Cafe,4.1/52335 votes,"Connaught Place, Central Delhi","North Indian,  Fusion,  Italian,  Chinese",2335 votes,₹ 2500 for two (approx.)
12,Padmanabham,4.2/5223 votes,"Janpath, Central Delhi",South Indian,223 votes,₹ 700 for two (approx.)
13,Unplugged Courtyard,4.1/51817 votes,"Connaught Place, Central Delhi","North Indian,  Continental",1817 votes,₹ 2000 for two (approx.)
14,38 Barracks,4.3/51301 votes,"M-Block,Connaught Place, Central Delhi","North Indian,  Italian,  Chinese,  Continental",1301 votes,₹ 1700 for two (approx.)
15,Ministry Of Beer,4.0/51501 votes,"M-Block,Connaught Place, Central Delhi","Finger Food,  North Indian,  Italian,  Continental,  Oriental ,  Fusion",1501 votes,₹ 2100 for two (approx.)
16,Sandoz,4.2/5134 votes,"Connaught Place, Central Delhi","North Indian,  Chinese,  Mughlai",134 votes,₹ 1500 for two (approx.)
17,Farzi Cafe,4.2/51410 votes,"Connaught Place, Central Delhi","Modern Indian,  Continental,  Finger Food",1410 votes,₹ 2000 for two (approx.)
18,Openhouse Cafe,4.2/51272 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  American,  Asian,  Modern Indian",1272 votes,₹ 2200 for two (approx.)
19,Lord of the Drinks,4.2/52694 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Continental,  Japanese,  Oriental ",2694 votes,₹ 2000 for two (approx.)
20,Lazeez Affaire,4.2/5845 votes,"Connaught Place, Central Delhi","North Indian,  Mughlai",845 votes,₹ 2600 for two (approx.)
21,OTB Courtyard,4.1/5297 votes,"Connaught Place, Central Delhi","World Cuisine,  Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American,  Fast Food",297 votes,₹ 2000 for two (approx.)
22,The Darzi Bar & Kitchen,4.1/51624 votes,"Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Mexican,  European,  Oriental ",1624 votes,₹ 2000 for two (approx.)
23,Route 04,4.2/5388 votes,"Connaught Place, Central Delhi","Finger Food,  Italian,  Continental,  American,  Tex Mex",388 votes,₹ 2000 for two (approx.)
24,Kwality Restaurant,4.5/5416 votes,"Regal Cinema Complex,Connaught Place, Central Delhi","North Indian,  Continental",416 votes,₹ 2000 for two (approx.)
25,Castle Barbeque,3.5/5101 votes,"Connaught Place, Central Delhi","North Indian,  Chinese",101 votes,₹ 2000 for two (approx.)
26,Teddy Boy,4.2/51753 votes,"Connaught Place, Central Delhi","North Indian,  Continental,  Italian,  Chinese",1753 votes,₹ 2000 for two (approx.)
27,Tamra,4.4/5491 votes,"Shangri La's Eros Hotel,Janpath, Central Delhi","Multi-Cuisine,  North Indian,  Japanese,  European,  Oriental ",491 votes,₹ 4000 for two (approx.)
28,Cafe Delhi Heights,4.4/5776 votes,"Janpath, Central Delhi","Modern Indian,  Italian,  Continental,  American",776 votes,₹ 2000 for two (approx.)
29,The Imperial Spice,4.4/5500 votes,"M-Block,Connaught Place, Central Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  European,  Oriental ",500 votes,₹ 2800 for two (approx.)
30,Informal By Imperfecto,4.1/51634 votes,"Janpath, Central Delhi","Multi-Cuisine,  Italian,  Continental,  Thai,  Oriental ",1634 votes,₹ 2400 for two (approx.)
31,Boa Village,4.4/54265 votes,"The Exchange Store Building,Civil Lines, North Delhi","Asian,  Chinese,  Japanese,  Korean",4265 votes,₹ 2000 for two (approx.)
32,Cafe MRP,4.2/51534 votes,"Connaught Place, Central Delhi","North Indian,  Italian,  Oriental ",1534 votes,₹ 1400 for two (approx.)
33,Caffe Tonino,4.5/5826 votes,"PVR Plaza,Connaught Place, Central Delhi",Italian,826 votes,₹ 2000 for two (approx.)
34,Desi Vibes,4.2/5881 votes,"Connaught Place, Central Delhi","North Indian,  Mughlai",881 votes,₹ 2200 for two (approx.)
35,Cafe High5,3.9/5310 votes,"Connaught Place, Central Delhi","North Indian,  Chinese,  Continental,  Oriental ",310 votes,₹ 1800 for two (approx.)
36,Master Of Malts,4.1/51269 votes,"Scindia House,Connaught Place, Central Delhi","Continental,  Finger Food,  North Indian,  Italian,  Mediterranean,  European,  Asian",1269 votes,₹ 2000 for two (approx.)
37,TEO - Lounge & Bar,3.9/51098 votes,"Punjabi Bagh, West Delhi","North Indian,  Oriental ,  Italian",1098 votes,₹ 1200 for two (approx.)
38,Connaught Clubhouse,4.2/5117 votes,"Janpath, Central Delhi","Multi-Cuisine,  Italian,  Mexican,  Asian",117 votes,₹ 2500 for two (approx.)
